trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
128308519,4,09/01/2019 10:11,09/01/2019 10:15,4401,34.075611,-118.291862,4390,34.069271,-118.296593,18946,30,One Way,Monthly Pass,electric
128308964,7,09/01/2019 10:17,09/01/2019 10:24,3074,34.04417,-118.261169,3032,34.049889,-118.255882,12039,30,One Way,Monthly Pass,standard
128308965,7,09/01/2019 10:17,09/01/2019 10:24,3074,34.04417,-118.261169,3032,34.049889,-118.255882,6337,30,One Way,Monthly Pass,standard
128309638,21,09/01/2019 10:18,09/01/2019 10:39,4126,33.710979,-118.284668,4131,33.738979,-118.279266,12185,1,One Way,Walk-up,standard
128314299,113,09/01/2019 10:19,09/01/2019 12:12,4346,33.984341,-118.47155,4346,33.984341,-118.47155,15289,1,Round Trip,Walk-up,smart
128309862,20,09/01/2019 10:23,09/01/2019 10:43,4286,,,4285,,,15523,1,One Way,One Day Pass,smart
128309413,7,09/01/2019 10:24,09/01/2019 10:31,3078,34.064281,-118.238937,3068,34.0532,-118.250954,16540,30,One Way,Monthly Pass,electric
128309860,16,09/01/2019 10:26,09/01/2019 10:42,3008,34.046612,-118.262733,3005,34.0485,-118.258537,16593,30,One Way,Monthly Pass,electric
128311885,55,09/01/2019 10:28,09/01/2019 11:23,4286,,,4286,,,15270,1,Round Trip,One Day Pass,smart
128311886,55,09/01/2019 10:28,09/01/2019 11:23,4286,,,4286,,,15800,1,Round Trip,One Day Pass,smart
128311887,55,09/01/2019 10:28,09/01/2019 11:23,4286,,,4286,,,15947,1,Round Trip,One Day Pass,smart
128311884,54,09/01/2019 10:29,09/01/2019 11:23,4286,,,4286,,,16073,1,Round Trip,One Day Pass,smart
128310543,25,09/01/2019 10:33,09/01/2019 10:58,4397,34.01688,-118.428452,4342,33.991161,-118.468292,16066,365,One Way,Walk-up,smart
128310085,13,09/01/2019 10:36,09/01/2019 10:49,4353,33.988129,-118.471741,4353,33.988129,-118.471741,15945,1,Round Trip,Walk-up,smart
128311218,25,09/01/2019 10:41,09/01/2019 11:06,4378,34.022331,-118.415771,4331,34.00351,-118.43438,15914,30,One Way,Monthly Pass,smart
128310310,12,09/01/2019 10:43,09/01/2019 10:55,4404,34.04813,-118.271027,3005,34.0485,-118.258537,6200,30,One Way,Monthly Pass,standard
128310539,12,09/01/2019 10:43,09/01/2019 10:55,4404,34.04813,-118.271027,3005,34.0485,-118.258537,6372,30,One Way,Monthly Pass,standard
128311217,25,09/01/2019 10:43,09/01/2019 11:08,3005,34.0485,-118.258537,4314,34.057709,-118.279762,16593,30,One Way,Monthly Pass,electric
128310990,16,09/01/2019 10:44,09/01/2019 11:00,4285,,,4322,34.005871,-118.429161,15523,1,One Way,One Day Pass,smart
128310538,13,09/01/2019 10:45,09/01/2019 10:58,3011,34.04113,-118.267982,3082,34.04652,-118.237411,19526,30,One Way,Monthly Pass,electric
128310083,3,09/01/2019 10:46,09/01/2019 10:49,3030,34.051941,-118.24353,3027,34.04998,-118.247162,12277,30,One Way,Monthly Pass,standard
128310535,10,09/01/2019 10:48,09/01/2019 10:58,4387,34.03352,-118.241837,3022,34.04607,-118.233093,18919,30,One Way,Monthly Pass,electric
128310536,10,09/01/2019 10:48,09/01/2019 10:58,4387,34.03352,-118.241837,3022,34.04607,-118.233093,19010,30,One Way,Monthly Pass,electric
128310534,7,09/01/2019 10:49,09/01/2019 10:56,3027,34.04998,-118.247162,3033,34.040989,-118.255798,12277,30,One Way,Monthly Pass,standard
128311209,16,09/01/2019 10:49,09/01/2019 11:05,4311,34.059689,-118.294662,4311,34.059689,-118.294662,17037,30,Round Trip,Monthly Pass,electric
128310532,8,09/01/2019 10:50,09/01/2019 10:58,4342,33.991161,-118.468292,4349,33.996239,-118.477448,15939,1,One Way,One Day Pass,smart
128310533,9,09/01/2019 10:50,09/01/2019 10:59,4342,33.991161,-118.468292,4349,33.996239,-118.477448,15936,1,One Way,One Day Pass,smart
128312983,52,09/01/2019 10:53,09/01/2019 11:45,4346,33.984341,-118.47155,4285,,,15540,1,One Way,One Day Pass,smart
128310980,10,09/01/2019 10:54,09/01/2019 11:04,4332,34.02948,-118.410469,4335,34.023392,-118.399223,15994,365,One Way,Walk-up,smart
128310982,10,09/01/2019 10:54,09/01/2019 11:04,4332,34.02948,-118.410469,4335,34.023392,-118.399223,16188,365,One Way,Walk-up,smart
128312979,54,09/01/2019 10:54,09/01/2019 11:48,4346,33.984341,-118.47155,4285,,,16184,1,One Way,One Day Pass,smart
128311864,25,09/01/2019 10:55,09/01/2019 11:20,4346,33.984341,-118.47155,4346,33.984341,-118.47155,15858,1,Round Trip,Walk-up,smart
128313408,62,09/01/2019 10:55,09/01/2019 11:57,3014,34.05661,-118.237213,3010,34.037048,-118.254868,18954,1,One Way,One Day Pass,electric
128311641,23,09/01/2019 10:56,09/01/2019 11:19,4426,34.149872,-118.378891,4426,34.149872,-118.378891,15898,365,Round Trip,Walk-up,smart
128312088,32,09/01/2019 10:56,09/01/2019 11:28,3033,34.040989,-118.255798,3020,34.031052,-118.26709,12277,30,One Way,Monthly Pass,standard
128313405,61,09/01/2019 10:56,09/01/2019 11:57,3014,34.05661,-118.237213,3010,34.037048,-118.254868,17052,1,One Way,One Day Pass,electric
128311861,23,09/01/2019 10:57,09/01/2019 11:20,4346,33.984341,-118.47155,4346,33.984341,-118.47155,15999,1,Round Trip,Walk-up,smart
128311860,23,09/01/2019 10:58,09/01/2019 11:21,4346,33.984341,-118.47155,4346,33.984341,-118.47155,16221,1,Round Trip,Walk-up,smart
